City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Rikitea,PF,77.25,light rain,-23.1203,-134.9692,Pension Maro'i
3,Hilo,US,77.0,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
4,Ixtapa,MX,80.6,clear sky,20.7,-105.2,Hotel Plaza Providencia
7,Butaritari,KI,82.63,light rain,3.0707,172.7902,Isles Sunset Lodge
9,Cabo San Lucas,MX,87.01,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
11,Palhi,PH,79.74,scattered clouds,10.6498,124.8062,Palermo Hotel
25,Pailon,BO,84.2,scattered clouds,-17.65,-62.75,Alojamiento pailon
27,Victoria,HK,77.0,light rain,22.2855,114.1577,Mini Hotel Central
29,Saint Marys,US,78.01,clear sky,30.7305,-81.5465,Spencer House Inn
31,Hamilton,US,75.2,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
32,Avarua,CK,77.0,light rain,-21.2078,-159.775,Paradise Inn
33,Bethel,US,78.8,broken clouds,41.3712,-73.414,Courtyard by Marriott Danbury
36,Georgetown,MY,80.01,few clouds,5.4112,100.3354,Cititel Penang
38,Salalah,OM,86.0,few clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
41,Xuddur,SO,75.63,light rain,4.1213,43.8894,Banjanay Hotel
45,Madang,PG,77.85,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
53,Natal,BR,80.6,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
54,El Seibo,DO,84.2,few clouds,18.7641,-69.0375,Defensa Civil del Seibo
58,Kalmunai,LK,80.2,overcast clouds,7.4167,81.8167,VS Villa
59,Souillac,MU,75.2,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
61,Atuona,PF,80.24,light rain,-9.8,-139.0333,Villa Enata
62,Kapaa,US,80.6,light rain,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
65,Hithadhoo,MV,82.74,overcast clouds,-0.6,73.0833,Scoop Guest House
73,Padang,ID,77.0,few clouds,-0.9492,100.3543,Mercure Padang
77,Vaitape,PF,81.1,few clouds,-16.5167,-151.75,Conrad Bora Bora Nui
88,Sulangan,PH,81.95,few clouds,11.1373,123.7228,Maia's Beach Resort
91,Ratnagiri,IN,80.47,clear sky,16.9833,73.3,Hotel Landmark
92,Santa Marta,CO,87.01,overcast clouds,11.2408,-74.199,Casa de Isabella
95,Alofi,NU,77.0,overcast clouds,-19.0595,-169.9187,Taloa Heights
100,Tiarei,PF,86.0,few clouds,-17.5333,-149.3333,Le Rocher de Tahiti
104,Bengkulu,ID,75.63,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
106,Cockburn Town,TC,80.6,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
114,Laguna,US,84.99,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
119,Tallahassee,US,81.0,overcast clouds,30.4383,-84.2807,Four Points by Sheraton Tallahassee Downtown
124,Wanning,CN,78.1,broken clouds,18.8003,110.3967,Paradise Hotel
127,Riyadh,SA,89.6,broken clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
132,Touros,BR,80.6,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
140,Faanui,PF,81.1,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
141,Kumluca,TR,77.81,broken clouds,36.3703,30.2869,TurkuazKöy
144,Dhidhdhoo,MV,83.86,overcast clouds,6.8833,73.1,Dhidhoo beach
145,Sechura,PE,76.95,few clouds,-5.5569,-80.8222,Hospedaje Costa Bella
150,Puerto Ayora,EC,86.0,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
152,Thinadhoo,MV,82.38,overcast clouds,0.5333,72.9333,
154,Kavaratti,IN,84.06,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
157,Isangel,VU,80.6,broken clouds,-19.55,169.2667,Tanna Lodge
158,San Patricio,US,86.0,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
159,Doha,QA,84.0,clear sky,25.2867,51.5333,Movenpick Hotel Doha
161,Tautira,PF,86.0,few clouds,-17.7333,-149.15,Pension Oaoa
162,Grand Gaube,MU,75.0,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
164,Tucupita,VE,75.49,overcast clouds,9.0622,-62.051,Hotel Tucupita Su​ite C.A.
168,Adrar,MR,88.25,overcast clouds,20.5022,-10.0711,
169,Kuching,MY,75.2,moderate rain,1.55,110.3333,The Ranee Boutique Suites
170,Kavieng,PG,82.78,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
172,Mahebourg,MU,75.2,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
179,Saint George,US,82.99,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
182,Warri,NG,78.58,overcast clouds,5.5167,5.75,BON Hotel Delta
186,Singaraja,ID,78.3,few clouds,-8.112,115.0882,Puri Bagus Lovina Resort
191,Rio Hato,PA,84.2,few clouds,8.3833,-80.1667,Posada Acuarela Farallón (Panamá)
193,Latung,PH,83.32,scattered clouds,5.5,120.8833,
194,Puerto Escondido,MX,84.2,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
196,Sterling,US,82.4,broken clouds,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
200,Kahului,US,82.4,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
204,Carutapera,BR,75.97,overcast clouds,-1.195,-46.02,Lidera
205,Greenwood,US,81.0,broken clouds,34.1668,-82.1165,Quality Inn Greenwood Hwy 25
206,Rondonopolis,BR,82.98,broken clouds,-16.4708,-54.6356,Serras Hotel
207,Pathein,MM,79.14,clear sky,16.7833,94.7333,New Pammawaddy Hotel
210,Paka,MY,75.2,broken clouds,4.6374,103.4368,RUMBIA RESORT VILLA
211,Sibolga,ID,75.33,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
219,Banda Aceh,ID,80.53,overcast clouds,5.5577,95.3222,Sulthan Hotel International
224,Ode,NG,75.29,overcast clouds,7.7899,5.7117,MORALAB HOTEL
225,Basi,IN,84.2,haze,26.8333,76.0333,Aloriya Farm House
229,Taoudenni,ML,82.31,scattered clouds,22.6783,-3.9836,
230,Lewistown,US,78.8,haze,40.5992,-77.5714,Quality Inn & Suites
236,Harper,LR,81.01,overcast clouds,4.375,-7.7169,Screensaver
237,Rudbar,AF,78.03,scattered clouds,30.15,62.6,
239,Biak,ID,75.96,scattered clouds,-0.9131,122.8766,Penginapan Kim
248,San Policarpo,PH,80.28,broken clouds,12.1791,125.5072,JM Lodge
250,Weligama,LK,77.27,overcast clouds,5.9667,80.4167,Weligama Bay Resort
252,Dingle,PH,77.52,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
253,Poum,NC,76.32,few clouds,-20.2333,164.0167,Gîte kajeon
257,San Jose De Las Lajas,CU,89.6,few clouds,22.9614,-82.1511,Hostal San José Cuba
260,Kudahuvadhoo,MV,83.5,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
262,Manadhoo,MV,82.78,overcast clouds,5.7667,73.3833,Vevu Guesthouse
266,Bandarbeyla,SO,83.26,light rain,9.4942,50.8122,JABIR HOTEL
270,Takoradi,GH,81.16,overcast clouds,4.8845,-1.7554,Raybow International Hotel
274,Bambous Virieux,MU,75.2,light rain,-20.3428,57.7575,Casa Tia Villa
281,Conde,BR,77.0,clear sky,-7.2597,-34.9075,Pousada Beija Flor
282,Santo Antonio Do Ica,BR,75.33,overcast clouds,-3.1022,-67.9397,Hotel Fogaça
283,Kampong Chhnang,KH,80.65,overcast clouds,12.1667,104.55,រមណីយដ្ឋាន ទឹកធ្លាក់ស្រែអំពិល
286,West Bay,KY,84.2,few clouds,19.3667,-81.4167,Calypso Cove
291,Meadow Lake,US,86.0,few clouds,34.8014,-106.5436,JKL Inc. R.V Park and Storage
293,Bubaque,GW,77.81,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
295,Lorengau,PG,82.36,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
297,Umm Lajj,SA,80.62,clear sky,25.0213,37.2685,Moon light Furnished Units
299,Mahibadhoo,MV,83.57,overcast clouds,3.7833,72.9667,Omadhoo Inn
300,Digha,IN,80.74,scattered clouds,21.6833,87.55,Khoniker Atithi
305,Trinidad,BO,87.8,few clouds,-14.8333,-64.9,Hotel Piesta
309,Malindi,KE,79.29,light rain,-3.2175,40.1191,African House Resort
311,Puerto Madero,MX,82.4,broken clouds,14.7208,-92.4215,Hotel La Central
320,Waddan,LY,87.22,few clouds,29.1614,16.139,محل الشريف محمد العايب
321,Fare,PF,80.85,few clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
