City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
0,Honningsvag,70.9821,25.9704,31.95,54,69,3.94,NO,2021-05-02 22:05:09,snow
1,Ushuaia,-54.8,-68.3,35.6,75,75,27.63,AR,2021-05-02 22:07:20,snow
2,Rikitea,-23.1203,-134.9692,77.25,78,66,15.5,PF,2021-05-02 22:07:54,light rain
3,Hilo,19.7297,-155.09,77.0,73,90,6.91,US,2021-05-02 22:00:05,light rain
4,Ixtapa,20.7,-105.2,80.6,61,1,17.27,MX,2021-05-02 22:07:38,clear sky
5,East London,-33.0153,27.9116,63.68,75,0,8.08,ZA,2021-05-02 22:04:53,clear sky
6,Machico,32.7,-16.7667,60.8,67,75,4.61,PT,2021-05-02 22:07:58,broken clouds
7,Butaritari,3.0707,172.7902,82.63,75,100,14.32,KI,2021-05-02 21:59:51,light rain
8,Neftcala,39.3742,49.2472,58.24,85,76,5.97,AZ,2021-05-02 22:08:00,broken clouds
9,Cabo San Lucas,22.8909,-109.9124,87.01,26,1,18.41,MX,2021-05-02 21:59:21,clear sky
10,Ilulissat,69.2167,-51.1,48.2,27,0,27.63,GL,2021-05-02 22:04:49,clear sky
11,Palhi,10.6498,124.8062,79.74,83,33,9.1,PH,2021-05-02 22:08:03,scattered clouds
12,Biograd Na Moru,43.9433,15.4519,59.0,77,0,4.61,HR,2021-05-02 22:08:04,clear sky
13,Louga,58.7372,29.8453,38.71,78,100,9.86,RU,2021-05-02 22:08:05,overcast clouds
14,Stettler,52.3168,-112.7186,51.8,46,91,14.97,CA,2021-05-02 22:04:23,overcast clouds
15,Jamestown,42.097,-79.2353,71.6,40,1,12.66,US,2021-05-02 22:05:25,clear sky
16,Mount Gambier,-37.8333,140.7667,55.4,94,75,8.05,AU,2021-05-02 22:08:09,light intensity drizzle
17,Albany,42.6001,-73.9662,54.0,91,100,4.03,US,2021-05-02 22:04:21,moderate rain
18,Cariati,39.4922,16.9594,52.0,83,100,2.8,IT,2021-05-02 22:08:11,overcast clouds
19,Norman Wells,65.282,-126.8329,39.2,75,75,6.91,CA,2021-05-02 21:58:14,broken clouds
20,Tasiilaq,65.6145,-37.6368,32.0,69,0,5.75,GL,2021-05-02 21:58:30,clear sky
21,Araouane,18.9048,-3.5265,95.59,23,12,13.94,ML,2021-05-02 22:08:14,few clouds
22,Arkhara,49.4212,130.0842,46.47,51,50,2.8,RU,2021-05-02 22:08:15,scattered clouds
23,Pevek,69.7008,170.3133,12.61,93,99,5.12,RU,2021-05-02 21:58:22,overcast clouds
24,Qitaihe,45.8,130.85,48.02,57,44,2.15,CN,2021-05-02 22:08:18,scattered clouds
25,Pailon,-17.65,-62.75,84.2,58,40,11.5,BO,2021-05-02 22:08:20,scattered clouds
26,Mumbwa,-14.9783,27.0619,59.94,94,100,6.8,ZM,2021-05-02 22:08:21,overcast clouds
27,Victoria,22.2855,114.1577,77.0,88,99,19.48,HK,2021-05-02 21:59:30,light rain
28,Chuy,-33.6971,-53.4616,64.67,75,76,6.44,UY,2021-05-02 21:58:49,broken clouds
29,Saint Marys,30.7305,-81.5465,78.01,100,1,8.05,US,2021-05-02 22:08:24,clear sky
30,Narsaq,60.9167,-46.05,42.8,24,63,56.39,GL,2021-05-02 22:08:26,broken clouds
31,Hamilton,39.1834,-84.5333,75.2,46,1,12.66,US,2021-05-02 21:58:17,clear sky
32,Avarua,-21.2078,-159.775,77.0,78,90,6.91,CK,2021-05-02 22:00:50,light rain
33,Bethel,41.3712,-73.414,78.8,34,75,8.05,US,2021-05-02 21:58:54,broken clouds
34,Carnarvon,-24.8667,113.6333,60.8,72,100,6.91,AU,2021-05-02 22:08:29,overcast clouds
35,Bredasdorp,-34.5322,20.0403,50.0,87,0,3.44,ZA,2021-05-02 21:59:57,clear sky
36,Georgetown,5.4112,100.3354,80.01,89,20,3.44,MY,2021-05-02 21:59:59,few clouds
37,Bereda,43.2686,-7.5406,42.01,96,3,4.0,ES,2021-05-02 22:08:32,clear sky
38,Salalah,17.0151,54.0924,86.0,74,20,2.3,OM,2021-05-02 22:04:48,few clouds
39,Demirci,39.0461,28.6589,65.68,36,25,2.06,TR,2021-05-02 22:08:34,scattered clouds
40,Bogashevo,56.3683,85.1447,48.2,40,0,15.66,RU,2021-05-02 22:08:36,clear sky
41,Xuddur,4.1213,43.8894,75.63,76,85,6.6,SO,2021-05-02 22:08:37,light rain
42,Hobart,-42.8794,147.3294,55.99,82,75,8.05,AU,2021-05-02 22:08:38,broken clouds
43,Vaini,-21.2,-175.2,73.4,73,90,10.36,TO,2021-05-02 21:58:48,overcast clouds
44,Hermanus,-34.4187,19.2345,64.0,48,0,1.01,ZA,2021-05-02 21:58:51,clear sky
45,Madang,-5.2246,145.7966,77.85,89,100,3.91,PG,2021-05-02 22:08:41,overcast clouds
46,Siedlce,52.1677,22.2901,37.0,87,100,25.55,PL,2021-05-02 22:08:42,overcast clouds
47,Batagay-Alyta,67.8006,130.4114,26.6,91,96,3.56,RU,2021-05-02 22:08:43,overcast clouds
48,Hovd,48.0056,91.6419,30.27,45,1,6.15,MN,2021-05-02 22:08:44,clear sky
49,Kruisfontein,-34.0033,24.7314,57.99,79,0,1.99,ZA,2021-05-02 21:59:49,clear sky
50,Saint-Michel-Des-Saints,46.6834,-73.9159,48.0,37,0,10.69,CA,2021-05-02 22:08:46,clear sky
51,Dikson,73.5069,80.5464,28.71,89,100,13.11,RU,2021-05-02 22:01:25,overcast clouds
52,Mastic Beach,40.7668,-72.8521,69.8,43,1,9.22,US,2021-05-02 22:05:11,clear sky
53,Natal,-5.795,-35.2094,80.6,78,20,12.66,BR,2021-05-02 22:06:17,few clouds
54,El Seibo,18.7641,-69.0375,84.2,61,20,9.22,DO,2021-05-02 22:08:50,few clouds
55,Qaanaaq,77.484,-69.3632,33.44,65,100,2.37,GL,2021-05-02 22:08:52,overcast clouds
